 (0.3935835,5.5586107E-02)
 (0.3906038,7.3686346E-02)
 (0.3869716,9.0867288E-02)
 (0.3828377,0.1069493)
 (0.3783746,0.1217765)
 (0.3737664,0.1352134)
 (0.3692015,0.1471370)
 (0.3648796,0.1574293)
 (0.3609979,0.1659658)
 (0.3577581,0.1726050)
 (0.3553585,0.1771726)
 (0.3539962,0.1794506)
 (0.3538541,0.1791598)
 (0.3550801,0.1759438)
 (0.3577690,0.1693646)
 (0.3619187,0.1589054)
 (0.3673586,0.1440002)
 (0.3736755,0.1241277)
 (0.3801806,9.9001169E-02)
 (0.3859294,6.8824328E-02)
 (0.3898729,3.4547579E-02)
 (0.3911658,-2.0503942E-03)
 (0.3894889,-3.8633823E-02)
 (0.3851867,-7.2868362E-02)
 (0.3791213,-0.1029844)
 (0.3723511,-0.1280431)
 (0.3658250,-0.1478499)
 (0.3602282,-0.1626983)
 (0.3559681,-0.1731142)
 (0.3532099,-0.1796664)
 (0.3519499,-0.1828702)
 (0.3520893,-0.1831634)
 (0.3534748,-0.1808999)
 (0.3559217,-0.1763584)
 (0.3544273,-0.1794534)
 (0.3593617,-0.1695690)
 (0.3646526,-0.1580321)
 (0.3700846,-0.1449712)
 (0.3754583,-0.1305093)
 (0.3805820,-0.1147693)
 (0.3852791,-9.7883858E-02)
 (0.3893892,-8.0000922E-02)
 (0.3927702,-6.1286859E-02)
 (0.3953048,-4.1926704E-02)
 (0.3969056,-2.2123175E-02)
 (0.3975150,-2.0914581E-03)
 (0.3971150,1.7945370E-02)
 (0.3957232,3.7764810E-02)
 (0.3933928,5.7150349E-02)
 (0.3902092,7.5898863E-02)
 (0.3862886,9.3824267E-02)
 (0.3817688,0.1107584)
 (0.3768110,0.1265516)
 (0.3715907,0.1410692)
 (0.3662959,0.1541865)
 (0.3611275,0.1657786)
 (0.3562966,0.1757146)
 (0.3520259,0.1838395)
 (0.3485498,0.1899638)
 (0.3461178,0.1938449)
 (0.3449804,0.1951592)
 (0.3453808,0.1934817)
 (0.3475375,0.1882601)
 (0.3515687,0.1787859)
 (0.3573990,0.1641920)
 (0.3646823,0.1435714)
 (0.3726807,0.1161950)
 (0.3801446,8.1900865E-02)
 (0.3854859,4.1675724E-02)
 (0.3873012,-2.0285556E-03)
 (0.3850284,-4.5712236E-02)
 (0.3792658,-8.5880838E-02)
 (0.3714406,-0.1200971)
 (0.3631553,-0.1473901)
 (0.3556542,-0.1679346)
 (0.3496703,-0.1824683)
 (0.3455389,-0.1919013)
 (0.3433276,-0.1971007)
 (0.3429086,-0.1987758)
 (0.3440598,-0.1974743)
 (0.3465317,-0.1936196)
 (0.3500710,-0.1875326)
 (0.3484564,-0.1906686)
 (0.3545839,-0.1792665)
